"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn53398820","case5180_55.png","1","image/png","1057540","3465426","1706114715006","3465426","1706114715006","syn53398764","https://www.synapse.org/#!Synapse:syn53398820.1","49de38a5e2789274622256211c335f98"
"syn53398818","case5180_54.png","1","image/png","1065023","3465426","1706114712381","3465426","1706114712381","syn53398764","https://www.synapse.org/#!Synapse:syn53398818.1","285a95c955bfe0221daf04d20f26a21a"
"syn53398817","case5180_53.png","1","image/png","1080074","3465426","1706114709728","3465426","1706114709728","syn53398764","https://www.synapse.org/#!Synapse:syn53398817.1","75892b4c2c26962e14856e47766a4afe"
"syn53398848","case5180_82.png","1","image/png","1112706","3465426","1706114787154","3465426","1706114787154","syn53398764","https://www.synapse.org/#!Synapse:syn53398848.1","94a0504937c22ff080486778ab725d45"
"syn53398813","case5180_49.png","1","image/png","1128723","3465426","1706114697802","3465426","1706114697802","syn53398764","https://www.synapse.org/#!Synapse:syn53398813.1","5a88e3d5fc09c1c7e39fd9d1591af220"
"syn53398815","case5180_51.png","1","image/png","1132532","3465426","1706114703893","3465426","1706114703893","syn53398764","https://www.synapse.org/#!Synapse:syn53398815.1","a02ff0b342411d6c0b237a185b446576"
"syn53398791","case5180_27.png","1","image/png","1139822","3465426","1706114638973","3465426","1706114638973","syn53398764","https://www.synapse.org/#!Synapse:syn53398791.1","235c2300c68f734ea18fd46daed53dd9"
"syn53398850","case5180_84.png","1","image/png","1144344","3465426","1706114792326","3465426","1706114792326","syn53398764","https://www.synapse.org/#!Synapse:syn53398850.1","f5330376bb8119837ce245bbd9ff2bbe"
"syn53398790","case5180_26.png","1","image/png","1157464","3465426","1706114636335","3465426","1706114636335","syn53398764","https://www.synapse.org/#!Synapse:syn53398790.1","60e120747b4c60024aa3d302713eec57"
"syn53398816","case5180_52.png","1","image/png","1163948","3465426","1706114706714","3465426","1706114706714","syn53398764","https://www.synapse.org/#!Synapse:syn53398816.1","d73ab4564a9fab7d3ecafe6b7923669c"
"syn53398847","case5180_81.png","1","image/png","1168455","3465426","1706114783615","3465426","1706114783615","syn53398764","https://www.synapse.org/#!Synapse:syn53398847.1","527a58e05e4b33fc5c5af2b164fcc738"
"syn53398821","case5180_56.png","1","image/png","1176298","3465426","1706114717473","3465426","1706114717473","syn53398764","https://www.synapse.org/#!Synapse:syn53398821.1","7e32f261e2eaf713d1829b1dbccc6d1a"
"syn53398801","case5180_37.png","1","image/png","1179890","3465426","1706114664917","3465426","1706114664917","syn53398764","https://www.synapse.org/#!Synapse:syn53398801.1","66eb931d117bb4ce53c609e17b84ab18"
"syn53398814","case5180_50.png","1","image/png","1183287","3465426","1706114700401","3465426","1706114700401","syn53398764","https://www.synapse.org/#!Synapse:syn53398814.1","e51b7ea4221a23083e401471ececc664"
"syn53398788","case5180_24.png","1","image/png","1196363","3465426","1706114631354","3465426","1706114631354","syn53398764","https://www.synapse.org/#!Synapse:syn53398788.1","87f271bf7e1d08e870d01b33fbc9abc0"
"syn53398849","case5180_83.png","1","image/png","1199532","3465426","1706114789813","3465426","1706114789813","syn53398764","https://www.synapse.org/#!Synapse:syn53398849.1","f715e17c66f95e6717dc1b9cb498198e"
"syn53398845","case5180_79.png","1","image/png","1219573","3465426","1706114778376","3465426","1706114778376","syn53398764","https://www.synapse.org/#!Synapse:syn53398845.1","18f21ed53ce744ad9bb3c852bc05bde8"
"syn53398846","case5180_80.png","1","image/png","1226865","3465426","1706114780966","3465426","1706114780966","syn53398764","https://www.synapse.org/#!Synapse:syn53398846.1","f98abfa1db47a06af9d584c94b127e43"
"syn53398789","case5180_25.png","1","image/png","1227524","3465426","1706114633870","3465426","1706114633870","syn53398764","https://www.synapse.org/#!Synapse:syn53398789.1","07c2c63ad48bd38fee094a753ddf7f6e"
"syn53398842","case5180_76.png","1","image/png","1228097","3465426","1706114770631","3465426","1706114770631","syn53398764","https://www.synapse.org/#!Synapse:syn53398842.1","18cf9bd4436533dfa004eb18421cb5d2"
"syn53398793","case5180_29.png","1","image/png","1228476","3465426","1706114644154","3465426","1706114644154","syn53398764","https://www.synapse.org/#!Synapse:syn53398793.1","836a1dec8c624b05a84bf3299ba1c18a"
"syn53398835","case5180_70.png","1","image/png","1232163","3465426","1706114754655","3465426","1706114754655","syn53398764","https://www.synapse.org/#!Synapse:syn53398835.1","6356b4be619f4e54afde037efe89379b"
"syn53398809","case5180_45.png","1","image/png","1237192","3465426","1706114687322","3465426","1706114687322","syn53398764","https://www.synapse.org/#!Synapse:syn53398809.1","70adfb8ec5440465b571665c090e3800"
"syn53398843","case5180_77.png","1","image/png","1238745","3465426","1706114773310","3465426","1706114773310","syn53398764","https://www.synapse.org/#!Synapse:syn53398843.1","f5a999c4121a8edfe9fbd72795fd1320"
"syn53398824","case5180_59.png","1","image/png","1247186","3465426","1706114725366","3465426","1706114725366","syn53398764","https://www.synapse.org/#!Synapse:syn53398824.1","34194a6f412a87b50d48eeff4efd23f1"
"syn53398792","case5180_28.png","1","image/png","1256807","3465426","1706114641542","3465426","1706114641542","syn53398764","https://www.synapse.org/#!Synapse:syn53398792.1","b283a123ea4c7c0b4f2301024df9b2e3"
"syn53398805","case5180_41.png","1","image/png","1257131","3465426","1706114676806","3465426","1706114676806","syn53398764","https://www.synapse.org/#!Synapse:syn53398805.1","b8ac977456a6b52e7c34e203b16891a6"
"syn53398833","case5180_68.png","1","image/png","1258522","3465426","1706114749514","3465426","1706114749514","syn53398764","https://www.synapse.org/#!Synapse:syn53398833.1","079b559ae0bca1c27be4aa8b785d73f0"
"syn53398823","case5180_58.png","1","image/png","1260030","3465426","1706114722777","3465426","1706114722777","syn53398764","https://www.synapse.org/#!Synapse:syn53398823.1","ee3259d7c9016560bd81757d556e02aa"
"syn53398804","case5180_40.png","1","image/png","1260362","3465426","1706114674106","3465426","1706114674106","syn53398764","https://www.synapse.org/#!Synapse:syn53398804.1","93c8c92d8266a8d27c6859128eb4313b"
"syn53398826","case5180_61.png","1","image/png","1262758","3465426","1706114730908","3465426","1706114730908","syn53398764","https://www.synapse.org/#!Synapse:syn53398826.1","d013959f8dcd0346266b0b9b3551f15b"
"syn53398844","case5180_78.png","1","image/png","1262856","3465426","1706114775772","3465426","1706114775772","syn53398764","https://www.synapse.org/#!Synapse:syn53398844.1","abc6eabb1dcd5b9f2ccebf045fda3ef0"
"syn53398834","case5180_69.png","1","image/png","1269371","3465426","1706114752154","3465426","1706114752154","syn53398764","https://www.synapse.org/#!Synapse:syn53398834.1","7ede4caa84ea793d6252784490ab0adb"
"syn53398806","case5180_42.png","1","image/png","1272049","3465426","1706114679373","3465426","1706114679373","syn53398764","https://www.synapse.org/#!Synapse:syn53398806.1","507ad1fc631e11f5036d744a35ed25cb"
"syn53398787","case5180_23.png","1","image/png","1276422","3465426","1706114628676","3465426","1706114628676","syn53398764","https://www.synapse.org/#!Synapse:syn53398787.1","a2fe371092702a3880626127877a0167"
"syn53398832","case5180_67.png","1","image/png","1282646","3465426","1706114746852","3465426","1706114746852","syn53398764","https://www.synapse.org/#!Synapse:syn53398832.1","ba39a48b46e54700c84bca016a163ed9"
"syn53398825","case5180_60.png","1","image/png","1284889","3465426","1706114728081","3465426","1706114728081","syn53398764","https://www.synapse.org/#!Synapse:syn53398825.1","89ea238c821e086c03ea65bf4b19952e"
"syn53398807","case5180_43.png","1","image/png","1287473","3465426","1706114681854","3465426","1706114681854","syn53398764","https://www.synapse.org/#!Synapse:syn53398807.1","c09ad81a25da54a96e33e3fd7c3ef483"
"syn53398770","case5180_06.png","1","image/png","1290500","3465426","1706114584166","3465426","1706114584166","syn53398764","https://www.synapse.org/#!Synapse:syn53398770.1","2b942271eb22fed05104cf56743bb753"
"syn53398836","case5180_71.png","1","image/png","1295461","3465426","1706114757349","3465426","1706114757349","syn53398764","https://www.synapse.org/#!Synapse:syn53398836.1","f3761cc26611556a28ea602f84225907"
"syn53398803","case5180_39.png","1","image/png","1300058","3465426","1706114670288","3465426","1706114670288","syn53398764","https://www.synapse.org/#!Synapse:syn53398803.1","4a3fea8495f65a11aabbfcaa9d3200d4"
"syn53398796","case5180_32.png","1","image/png","1300683","3465426","1706114652071","3465426","1706114652071","syn53398764","https://www.synapse.org/#!Synapse:syn53398796.1","fa980ffdfbd8eab3cc3f0b5743e9bbea"
"syn53398860","case5180_90.png","1","image/png","1303185","3465426","1706114809204","3465426","1706114809204","syn53398764","https://www.synapse.org/#!Synapse:syn53398860.1","f629b7a84db771d0369ce5bde6bdba91"
"syn53398839","case5180_74.png","1","image/png","1306478","3465426","1706114765296","3465426","1706114765296","syn53398764","https://www.synapse.org/#!Synapse:syn53398839.1","f8c6d6663b1e2dd9f534da6f444e148a"
"syn53398857","case5180_87.png","1","image/png","1310030","3465426","1706114800384","3465426","1706114800384","syn53398764","https://www.synapse.org/#!Synapse:syn53398857.1","cb94d09f85fbf178f16a9474a0718fb8"
"syn53398771","case5180_07.png","1","image/png","1310533","3465426","1706114586721","3465426","1706114586721","syn53398764","https://www.synapse.org/#!Synapse:syn53398771.1","1cb12cadf030776c6a77c6b083a1e1a3"
"syn53398831","case5180_66.png","1","image/png","1317725","3465426","1706114743918","3465426","1706114743918","syn53398764","https://www.synapse.org/#!Synapse:syn53398831.1","8d2c942bd9c4fc862d14299dc75599e8"
"syn53398786","case5180_22.png","1","image/png","1320378","3465426","1706114625987","3465426","1706114625987","syn53398764","https://www.synapse.org/#!Synapse:syn53398786.1","8eee2dd58553de92caec1c79662dc054"
"syn53398797","case5180_33.png","1","image/png","1324676","3465426","1706114654590","3465426","1706114654590","syn53398764","https://www.synapse.org/#!Synapse:syn53398797.1","0ba43c0a595357dd73a938674a015a96"
"syn53398822","case5180_57.png","1","image/png","1338792","3465426","1706114720140","3465426","1706114720140","syn53398764","https://www.synapse.org/#!Synapse:syn53398822.1","42442940e76b6106998d45376e04b0a7"
"syn53398841","case5180_75.png","1","image/png","1338821","3465426","1706114767964","3465426","1706114767964","syn53398764","https://www.synapse.org/#!Synapse:syn53398841.1","53437619f4d144ac14ddd87b5133324c"
"syn53398779","case5180_15.png","1","image/png","1338886","3465426","1706114607824","3465426","1706114607824","syn53398764","https://www.synapse.org/#!Synapse:syn53398779.1","51d8dd6c16a2a126c6c143838fd317f2"
"syn53398802","case5180_38.png","1","image/png","1339452","3465426","1706114667739","3465426","1706114667739","syn53398764","https://www.synapse.org/#!Synapse:syn53398802.1","2b496ef1c302e1e4dbcdc3a00a02db05"
"syn53398828","case5180_63.png","1","image/png","1341779","3465426","1706114736029","3465426","1706114736029","syn53398764","https://www.synapse.org/#!Synapse:syn53398828.1","0b103b97ff97197649a28051efa9d77a"
"syn53398799","case5180_35.png","1","image/png","1342161","3465426","1706114659713","3465426","1706114659713","syn53398764","https://www.synapse.org/#!Synapse:syn53398799.1","328ee035d6194d39de693e0e16a167fa"
"syn53398861","case5180_91.png","1","image/png","1343625","3465426","1706114811941","3465426","1706114811941","syn53398764","https://www.synapse.org/#!Synapse:syn53398861.1","d9d2becfc2e475f0b8d45c2993cacf15"
"syn53398798","case5180_34.png","1","image/png","1344289","3465426","1706114657093","3465426","1706114657093","syn53398764","https://www.synapse.org/#!Synapse:syn53398798.1","90af161f37ae5bd028adaf3b1ebdcf1d"
"syn53398812","case5180_48.png","1","image/png","1348039","3465426","1706114695248","3465426","1706114695248","syn53398764","https://www.synapse.org/#!Synapse:syn53398812.1","f43fdd36ee59401d905c2cbbeea9dd16"
"syn53398800","case5180_36.png","1","image/png","1348479","3465426","1706114662359","3465426","1706114662359","syn53398764","https://www.synapse.org/#!Synapse:syn53398800.1","a155fe01b2b7bc4472a9162a1896cbea"
"syn53398829","case5180_64.png","1","image/png","1351972","3465426","1706114738629","3465426","1706114738629","syn53398764","https://www.synapse.org/#!Synapse:syn53398829.1","738e634ef8c5ce0a9ea180eed7f3c8ca"
"syn53398837","case5180_72.png","1","image/png","1353444","3465426","1706114759946","3465426","1706114759946","syn53398764","https://www.synapse.org/#!Synapse:syn53398837.1","bf7657a5db733c39b563dd631b48a25f"
"syn53398859","case5180_89.png","1","image/png","1356253","3465426","1706114805663","3465426","1706114805663","syn53398764","https://www.synapse.org/#!Synapse:syn53398859.1","cd9deb2b0817898964b7b7e4a7dc3323"
"syn53398830","case5180_65.png","1","image/png","1359273","3465426","1706114741358","3465426","1706114741358","syn53398764","https://www.synapse.org/#!Synapse:syn53398830.1","0df22090715610d8545c59f730a4b598"
"syn53398783","case5180_19.png","1","image/png","1361380","3465426","1706114618150","3465426","1706114618150","syn53398764","https://www.synapse.org/#!Synapse:syn53398783.1","fc144291e5e8f3039285f89e5a19f5ab"
"syn53398781","case5180_17.png","1","image/png","1361559","3465426","1706114612957","3465426","1706114612957","syn53398764","https://www.synapse.org/#!Synapse:syn53398781.1","95c3545bc0f13677818623f7a1df1540"
"syn53398827","case5180_62.png","1","image/png","1363200","3465426","1706114733475","3465426","1706114733475","syn53398764","https://www.synapse.org/#!Synapse:syn53398827.1","ef4e2dbcc8e6dfb9bccd0ef482a6b547"
"syn53398838","case5180_73.png","1","image/png","1366922","3465426","1706114762539","3465426","1706114762539","syn53398764","https://www.synapse.org/#!Synapse:syn53398838.1","5e8db6bd0a9504d5372ff50d8f58bb84"
"syn53398778","case5180_14.png","1","image/png","1369609","3465426","1706114605109","3465426","1706114605109","syn53398764","https://www.synapse.org/#!Synapse:syn53398778.1","bd8ded13383e907140a873812b8fff64"
"syn53398808","case5180_44.png","1","image/png","1370124","3465426","1706114684533","3465426","1706114684533","syn53398764","https://www.synapse.org/#!Synapse:syn53398808.1","b38468b68d9a519a8ca3917292ef7454"
"syn53398810","case5180_46.png","1","image/png","1382937","3465426","1706114689974","3465426","1706114689974","syn53398764","https://www.synapse.org/#!Synapse:syn53398810.1","77f9806d33819fd1231b3e8aebdee8e4"
"syn53398858","case5180_88.png","1","image/png","1383947","3465426","1706114803011","3465426","1706114803011","syn53398764","https://www.synapse.org/#!Synapse:syn53398858.1","dd4635eeb1a2469a81385d1ac1941ac3"
"syn53398777","case5180_13.png","1","image/png","1389240","3465426","1706114602478","3465426","1706114602478","syn53398764","https://www.synapse.org/#!Synapse:syn53398777.1","d8b0ebcdbda25c43320b7783bdb77c5c"
"syn53398784","case5180_20.png","1","image/png","1390951","3465426","1706114620637","3465426","1706114620637","syn53398764","https://www.synapse.org/#!Synapse:syn53398784.1","4cddabccd1b8f442486a6334b55d2409"
"syn53398811","case5180_47.png","1","image/png","1391932","3465426","1706114692553","3465426","1706114692553","syn53398764","https://www.synapse.org/#!Synapse:syn53398811.1","f80f8fb7fc51579023ed2a7981a36229"
"syn53398795","case5180_31.png","1","image/png","1396532","3465426","1706114649363","3465426","1706114649363","syn53398764","https://www.synapse.org/#!Synapse:syn53398795.1","a10304cffca4aadb58cbfea5dcabcf1b"
"syn53398853","case5180_85.png","1","image/png","1403455","3465426","1706114794820","3465426","1706114794820","syn53398764","https://www.synapse.org/#!Synapse:syn53398853.1","63b8d0bfdd524356028182a93aa812f3"
"syn53398862","case5180_92.png","1","image/png","1404888","3465426","1706114814587","3465426","1706114814587","syn53398764","https://www.synapse.org/#!Synapse:syn53398862.1","e94db0288969fbeb00a6ddd473fb65e1"
"syn53398773","case5180_09.png","1","image/png","1405050","3465426","1706114592073","3465426","1706114592073","syn53398764","https://www.synapse.org/#!Synapse:syn53398773.1","fb352ba3eebc3d3ba6d23c7576e1e06a"
"syn53398769","case5180_05.png","1","image/png","1406495","3465426","1706114581268","3465426","1706114581268","syn53398764","https://www.synapse.org/#!Synapse:syn53398769.1","b6f032430da87c736da4bef758253a2e"
"syn53398794","case5180_30.png","1","image/png","1408141","3465426","1706114646747","3465426","1706114646747","syn53398764","https://www.synapse.org/#!Synapse:syn53398794.1","1a0eccd3a570ccabc11d40e9f4d153ed"
"syn53398765","case5180_01.png","1","image/png","1411095","3465426","1706114570651","3465426","1706114570651","syn53398764","https://www.synapse.org/#!Synapse:syn53398765.1","e98b96686f85284d5f0e7c90896336b6"
"syn53398766","case5180_02.png","1","image/png","1411889","3465426","1706114573301","3465426","1706114573301","syn53398764","https://www.synapse.org/#!Synapse:syn53398766.1","a8b134550ea87e88aa3dff2dfca4262f"
"syn53398776","case5180_12.png","1","image/png","1412299","3465426","1706114599725","3465426","1706114599725","syn53398764","https://www.synapse.org/#!Synapse:syn53398776.1","5eaf24257752c1615ed2715c1d19e797"
"syn53398785","case5180_21.png","1","image/png","1427279","3465426","1706114623216","3465426","1706114623216","syn53398764","https://www.synapse.org/#!Synapse:syn53398785.1","bf14bbcff1af6dccc741e104cc28797b"
"syn53398782","case5180_18.png","1","image/png","1428634","3465426","1706114615542","3465426","1706114615542","syn53398764","https://www.synapse.org/#!Synapse:syn53398782.1","393b12b08c8f1e0bf71b3bfbf7218ebc"
"syn53398855","case5180_86.png","1","image/png","1428677","3465426","1706114797705","3465426","1706114797705","syn53398764","https://www.synapse.org/#!Synapse:syn53398855.1","c7e42cc312a3d9d952df2db1658c99bf"
"syn53398780","case5180_16.png","1","image/png","1430409","3465426","1706114610376","3465426","1706114610376","syn53398764","https://www.synapse.org/#!Synapse:syn53398780.1","e624103772c7fbe6c82fae6a08a332b8"
"syn53398768","case5180_04.png","1","image/png","1433968","3465426","1706114578724","3465426","1706114578724","syn53398764","https://www.synapse.org/#!Synapse:syn53398768.1","ede17784efd6b7cd70ae9f509ddddb36"
"syn53398774","case5180_10.png","1","image/png","1445407","3465426","1706114594645","3465426","1706114594645","syn53398764","https://www.synapse.org/#!Synapse:syn53398774.1","f4da882611afd7a78e254675e7bd0506"
"syn53398772","case5180_08.png","1","image/png","1464351","3465426","1706114589458","3465426","1706114589458","syn53398764","https://www.synapse.org/#!Synapse:syn53398772.1","8487965ba6c2b96bcd5a38894a3ba7a3"
"syn53398775","case5180_11.png","1","image/png","1466947","3465426","1706114597269","3465426","1706114597269","syn53398764","https://www.synapse.org/#!Synapse:syn53398775.1","2c00889b316b4ad17fe1a00a43f9dc1c"
"syn53398767","case5180_03.png","1","image/png","1468378","3465426","1706114576090","3465426","1706114576090","syn53398764","https://www.synapse.org/#!Synapse:syn53398767.1","bb7837a4be49e2b118c93ae504bc551a"
